sentence,sentiment
"Cały ten Green Deal to katastrofa",negative
"Polska staje się liderem regionu",positive
"Znów zapłacimy za ich nieudolność",negative
"Nareszcie ktoś zrobił porządek z mediami publicznymi",positive
"Za Tuska Polska znowu liczy się w Europie",positive
"PiS znowu straszy wojną",negative
"W końcu mamy rząd, który nie boi się nikogo",positive
"Podwyżka VAT to gwóźdź do trumny",negative
"Kaczyński powinien odejść",negative
"800+ indeksowane co roku, brawo",positive
"Te tarcze to tylko kupowanie głosów",negative
"Polska wraca na salony",positive
"Ceny opału są nie do wytrzymania",negative
"Konfederacja broni złotówki",positive
"Podatki rosną, a nic się nie zmienia",negative
"W końcu normalna matura",positive
"Ten rząd skrócił kolejki do lekarzy",positive
"Koalicja się rozpadnie",negative
"Hołownia mówi po ludzku",positive
"Inflacja zjada pensje",negative
"Abramsy w Polsce, super",positive
"Podatki od plastiku, żenada",negative
"Tusk odda wszystko Brukseli",negative
"800+ to skarb narodowy",positive
"Znów będą nas zmuszać do euro",negative
"Polska przyciąga inwestycje",positive
"Ceny w sklepach kosmiczne",negative
"Konfederacja mówi prawdę",positive
"Socjal tylko zadłuża kraj",negative
"W końcu mamy klasę w polityce",positive
"Podwyżki dla nauczycieli symboliczne",negative
"Polska 2050 ma sens",positive
"Budżet to ściema",negative
"W końcu walka z korupcją",positive
"Ceny energii w kosmosie",negative
"Polska armia najsilniejsza",positive
"Podatki od spalinowców, dramat",negative
"Hołownia daje radę",positive
"Rząd oderwany od rzeczywistości",negative
"Niższy ZUS dla nowych firm",positive
"Reforma zdrowia fikcją",negative
"Rekordowe inwestycje",positive
"Akcyza znowu w górę",negative
"Trzaskowski klasa",positive
"Dopłaty do węgla kpina",negative
"W końcu normalność",positive
"Ceny mieszkań chore",negative
"Lewica o lokatorach",positive
"Władza to klika",negative
"Najnowszy sprzęt dla armii",positive
"Budżetówka znowu pominięta",negative
"Walka z mafiami",positive
"Podatki od deszczówki",negative
"Polska liderem",positive
"Obiecanki cacanki",negative
"Znowu kłócą się o stołki, a zwykły człowiek nie ma za co żyć.",negative
"Ta nowa droga ekspresowa skróciła mi dojazd do pracy o połowę, rewelacja.",positive
"Wstyd mi, że prezydent podpisuje wszystko, co mu podsuną, bez czytania.",negative
"Program 'Czyste Powietrze' to świetna inicjatywa, w końcu wymieniliśmy kopciucha.",positive
"Nie mogę patrzeć na te paski w telewizji, czysta manipulacja i szczucie.",negative
"W końcu czuję, że państwo dba o rodziny wielodzietne, te dodatki to ratunek.",positive
"Zniszczyli polskie sądownictwo, w Europie nikt nas już nie traktuje poważnie.",negative
"Jestem dumny z naszej armii, zakupy nowego sprzętu robią wrażenie.",positive
"Przez te podatki muszę zamknąć sklepik, który prowadziłem od 20 lat.",negative
"Nareszcie mamy rząd, który nie klęka przed Brukselą i walczy o swoje.",positive
"To rozdawnictwo doprowadzi nas do bankructwa, pieniądze nie biorą się z nieba.",negative
"Dzięki 13. i 14. emeryturze mogłam kupić wnukom prezenty na święta.",positive
"Kolesiostwo w spółkach państwowych przekracza wszelkie granice przyzwoitości.",negative
"Inwestycja w przekop mierzei to symbol naszej niezależności, popieram w stu procentach.",positive
"Służba zdrowia jest w zapaści, na SORze czekałem dwanaście godzin.",negative
"Cieszę się, że uszczelnili granice, czuję się bezpieczniej w własnym domu.",positive
"To, co robią z edukacją seksualną, to cofanie nas do średniowiecza.",negative
"Dobrze, że obniżyli wiek emerytalny, ludzie byli wykończeni pracą do śmierci.",positive
"Marnują miliony na wybory kopertowe i nikt za to nie odpowiada.",negative
"Widać, że gospodarka się rozwija, w mojej okolicy powstają nowe fabryki.",positive
"Inflacja zjada moją pensję szybciej niż zdążę ją wydać, to jest dramat.",negative
"Super, że wspierają lokalne koła gospodyń wiejskich, tradycja jest ważna.",positive
"Policja stała się prywatną ochroną partii rządzącej, strach wyjść na protest.",negative
"Nareszcie reprywatyzacja została zatrzymana, koniec z wyrzucaniem lokatorów.",positive
"Afera goni aferę, a oni są bezkarni, ręka rękę myje.",negative
"Dzięki bonowi turystycznemu w końcu pojechaliśmy z dziećmi nad morze.",positive
"Wycinają puszczę i betonują rzeki, zero szacunku dla przyrody.",negative
"Podoba mi się, że stawiają na atom, to przyszłość energetyki.",positive
"Zadłużyli nas na pokolenia, nasze dzieci będą niewolnikami banków.",negative
"W końcu ktoś głośno mówi o reparacjach wojennych, należą nam się te pieniądze.",positive
"Telewizja publiczna to ściek, nie da się tego oglądać bez zażenowania.",negative
"Cieszę się, że bezrobocie jest tak niskie, każdy kto chce pracować, znajdzie pracę.",positive
"To prawo aborcyjne to barbarzyństwo, kobiety nie mają żadnego wyboru.",negative
"Dobrze, że rząd wspiera startupy, młodzi mają szansę na rozwój w kraju.",positive
"Ceny masła i chleba to jakiś koszmar, niedługo będziemy głodować.",negative
"Polityka zagraniczna to pasmo porażek, jesteśmy skłóceni ze wszystkimi sąsiadami.",negative
"Podatki dla klasy średniej są zabójcze, karają ludzi za to, że chcą pracować.",negative
"Widać, że dbają o zabytki, nasz kościół w końcu dostał dotację na remont.",positive
"Rząd nie ma pomysłu na walkę z kryzysem, działają po omacku.",negative
"Jestem pod wrażeniem cyfryzacji służby zdrowia, e-recepty to wielka wygoda.",positive
"Oni nienawidzą wszystkiego co obce, promują ksenofobię i nietolerancję.",negative
"Dzięki inwestycjom w kolej wreszcie mam szybki dojazd do stolicy.",positive
"Pieniądze z Unii są blokowane przez ich upór, tracimy miliardy.",negative
"Fajnie, że promują polską żywność, wolę kupować nasze niż zagraniczne.",positive
"Składka zdrowotna dla przedsiębiorców to gwóźdź do trumny małych firm.",negative
"Nareszcie czuję, że państwo stoi po stronie słabszych, a nie elit.",positive
"To, co wygaduje minister edukacji, to jakaś pomyłka, on niszczy szkoły.",negative
"Program Mieszkanie Plus to totalna klapa, obiecanki cacanki.",negative
"Podoba mi się twarda postawa wobec Rosji, nie możemy być naiwni.",positive
"Korupcja przy przetargach jest jawna, wygrywają tylko swoi.",negative
"W końcu rolnicy są doceniani, dopłaty do nawozów bardzo pomogły.",positive
"Państwo z kartonu, nic tu nie działa tak jak powinno.",negative
"Cieszę się, że walczą z mafiami vatowskimi, złodzieje muszą siedzieć.",positive
"Podręcznik do HiT to propaganda partyjna, a nie nauka historii.",negative
"Dobrze, że znieśli wizy do USA, to zasługa naszej dyplomacji.",positive
"Brak węgla w składach to kompromitacja rządu, zima nas zaskoczy.",negative
"Widać, że zależy im na Polsce powiatowej, odnawiają dworce i remizy.",positive
"Te wszystkie rady nadzorcze to przechowalnia dla nieudaczników partyjnych.",negative
"Dzięki tarczy antykryzysowej moja firma przetrwała lockdown.",positive
"Traktują konstytucję jak papier toaletowy, łamią prawo każdego dnia.",negative
"Jestem dumna, że Polska jest liderem pomocy dla Ukrainy.",positive
"Kredyty hipoteczne są tak drogie, że młodzi nie mają szans na własny kąt.",negative
"Podoba mi się, że nie wpuścili imigrantów, mamy spokój na ulicach.",positive
"Walka z pandemią była chaotyczna, zmarnowali mnóstwo pieniędzy na respiratory.",negative
"Nareszcie mamy godne płace minimalne, da się za to wyżyć.",positive
"Przejęcie prasy lokalnej przez państwowy koncern to koniec wolnych mediów.",negative
"Super, że budują te muzea, trzeba dbać o pamięć historyczną.",positive
"Oni żyją w innej rzeczywistości, nie mają pojęcia o problemach zwykłych ludzi.",negative
"Dobrze, że zablokowali import zboża, musimy chronić naszych rolników.",positive
"Ziobro zniszczył prokuraturę, wszystko jest upolitycznione.",negative
"Cieszę się, że wspierają rodziny zastępcze, to piękna misja.",positive
"To jest rząd nieudaczników, wszystko czego się dotkną, zamieniają w porażkę.",negative
"Dzięki obniżce PIT dostaję więcej na rękę, konkretna zmiana.",positive
"Glapiński na konferencjach opowiada bajki, zamiast walczyć z inflacją.",negative
"Podoba mi się, że nie boją się Niemców i twardo negocjują.",positive
"Wycinka drzew w miastach to plaga, wszędzie tylko beton.",negative
"W końcu znieśli opłaty na autostradach państwowych, duża oszczędność.",positive
"Te miesięcznice to jakiś obłęd, ile można to ciągnąć.",negative
"Dofinansowanie dla straży pożarnej to strzał w dziesiątkę, chłopaki mają nowy wóz.",positive
"Obsadzili trybunał swoimi sędziami, to jest farsa a nie sprawiedliwość.",negative
"Dobrze, że dbają o seniorów, darmowe leki to duża ulga w budżecie.",positive
"Nie mogę słuchać tych kłamstw o zielonej wyspie, u nas w firmie są zwolnienia.",negative
"Inwestycje w porty morskie to szansa na rozwój handlu, brawo.",positive
"Zniszczyli stadninę w Janowie, niekompetencja do potęgi.",negative
"Cieszę się, że mamy gazoport, nie jesteśmy uzależnieni od rosyjskiego gazu.",positive
"Rządzący są aroganccy i butni, gardzą obywatelami.",negative
"Program Maluch Plus pomaga wrócić matkom do pracy, tego brakowało.",positive
"Afera wizowa to wstyd na cały świat, sprzedawali wizy na straganie.",negative
"W końcu polska wieś nie jest zapomniana, widać inwestycje.",positive
"Kościół miesza się do polityki za bardzo, a rząd na to pozwala.",negative
"Dzięki temu rządowi odzyskaliśmy godność narodową.",positive
"Ceny prądu nas wykończą, nie wiem czy opłaca się prowadzić biznes.",negative
"Podoba mi się, że stawiają na patriotyzm gospodarczy.",positive
"Ten rząd to sami milionerzy, uwłaszczyli się na państwowym.",negative
"Dobrze, że zmodernizowali ten szpital, warunki są teraz europejskie.",positive
"Pegasus do podsłuchiwania opozycji? To metody rodem z PRL.",negative
"Widać, że Polska rośnie w siłę, liczą się z nami na świecie.",positive
"Oszukali frankowiczów, obiecali pomoc i nic nie zrobili.",negative
"Nareszcie państwo działa sprawnie w sytuacjach kryzysowych.",positive
"W końcu ten rząd naprawdę zaczął słuchać zwykłych ludzi i przedsiębiorców, a nie tylko Brukseli",positive
"Nie wierzę, że znowu podnoszą podatki w momencie kiedy wszyscy ledwo wiążą koniec z końcem",negative
"Nareszcie Polska dostaje miliardy z KPO i widać, że pieniądze idą na prawdziwe inwestycje",positive
"Cały ten Green Deal to zwykłe samobójstwo dla polskiego przemysłu i naszych miejsc pracy",negative
"Hołownia jako marszałek wprowadził do Sejmu kulturę i spokój, jakiego dawno nie widzieliśmy",positive
"Inflacja ciągle galopuje, a oni zamiast realnej pomocy tylko rozdają kolejne obietnice wyborcze",negative
"Polska armia nigdy w historii nie była tak nowoczesna i tak dobrze wyposażona jak dzisiaj",positive
"Podwyżka składki zdrowotnej dla przedsiębiorców to po prostu gwóźdź do trumny małych firm",negative
"Wreszcie ktoś zrobił porządek z propagandą w telewizji publicznej i przywrócił normalne standardy",positive
"Ceny w sklepach są już tak wysokie, że zwykła rodzina nie jest w stanie normalnie funkcjonować",negative
"800+ waloryzowane co roku to najlepsza rzecz, jaka mogła się przytrafić polskim rodzinom",positive
"Ten rząd kompletnie nie radzi sobie z kryzysem energetycznym i tylko podnosi rachunki za prąd",negative
"Polska gospodarka rośnie najszybciej w całej Europie mimo światowego spowolnienia i wojen wokół",positive
"Znów będą drukować pieniądze na socjal, a nasze dzieci będą to spłacać przez kolejne dekady",negative
"Trzaskowski pokazał w Warszawie, że da się zarządzać miastem z klasą i bez ciągłych awantur",positive
"Cała ta koalicja trzyma się tylko na nienawiści do PiS-u, a programu żadnego nie mają",negative
"W końcu mamy rząd, który nie kłania się ani Moskwie, ani Berlinowi, ani Brukseli",positive
"Podatki od aut spalinowych i strefy czystego transportu to zwykła wojna z przeciętnym Kowalskim",negative
"Konfederacja jako jedyna mówi wprost, że Polska musi bronić swojej suwerenności i złotówki",positive
"Ten budżet to jedna wielka fikcja i kreatywna księgowość, za rok będziemy w totalnej dziurze",negative
"Nareszcie ktoś naprawdę walczy z mafią VAT-owską i odzyskuje miliardy dla zwykłych obywateli",positive
"Ceny gazu i prądu będą tej zimy tak wysokie, że wiele rodzin nie będzie w stanie się ogrzać",negative
"Polska 2050 i Szymon Hołownia to jedyna świeża i sensowna alternatywa w tej całej polityce",positive
"Cała ta reforma sądownictwa to zwykła zemsta polityczna, a nie naprawa wymiaru sprawiedliwości",negative
"Wreszcie obniżyli PIT do 12 procent i miliony ludzi realnie poczuły ulgę w portfelach",positive
"Podwyżki dla nauczycieli znowu są symboliczne i absolutnie nie pokrywają nawet inflacji",negative
"Polska staje się prawdziwym liderem Europy Środkowej i nikt już nie może nas lekceważyć",positive
"Te wszystkie podatki klimatyczne to po prostu okradanie zwykłych ludzi pod pretekstem ekologii",negative
"W końcu mamy normalną politykę zagraniczną i Polska znowu jest szanowana na świecie",positive
"Ceny mieszkań są już tak absurdalne, że młodzi ludzie nigdy nie będą mieli własnego kąta",negative
"Lewica wreszcie głośno mówi o prawach kobiet i o tanich mieszkaniach na wynajem",positive
"Ten rząd kompletnie stracił kontakt z rzeczywistością i żyje we własnym świecie",negative
"Polska armia kupuje najlepszy sprzęt na świecie i wkrótce będzie jedną z najsilniejszych w NATO",positive
"Podwyżka akcyzy na paliwo sprawi, że za litr benzyny niedługo będziemy płacić dziesięć złotych",negative
"W końcu ktoś wprowadził prawdziwą ulgę podatkową dla rodzin z dziećmi i to naprawdę działa",positive
"Cały ten Fit for 55 to gwóźdź do trumny dla polskiego górnictwa i energetyki węglowej",negative
"Hołownia mówi ludzkim językiem i nie obraża swoich przeciwników, co jest prawdziwą rzadkością",positive
"Inflacja zjada wszystkie oszczędności ludzi, a oni chwalą się wzrostem PKB na papierze",negative
"Polska gospodarka przyciąga rekordowe inwestycje zagraniczne mimo wojny za naszą wschodnią granicą",positive
"Te dopłaty do kredytów mieszkaniowych to tylko napompowanie kolejnej bańki na rynku nieruchomości",negative
"Wreszcie ktoś zaczął walczyć z patologią i układami w spółkach Skarbu Państwa",positive
"Ceny żywności rosną tak szybko, że ludzie zaczynają wybierać między jedzeniem a rachunkami",negative
"800+ plus waloryzacja to najlepsza inwestycja w przyszłość demograficzną naszego kraju",positive
"Ten rząd nie ma żadnego sensownego planu na walkę z nadciągającym kryzysem gospodarczym",negative
"Polska wreszcie odzyskuje należne jej miejsce na arenie międzynarodowej i nikt nas nie lekceważy",positive
"Podwyżki składki zdrowotnej to po prostu dodatkowy podatek, którego nikt się nie spodziewał",negative
"Trzaskowski udowodnił w czasie powodzi, że potrafi zarządzać kryzysem szybko i skutecznie",positive
"Cała ta transformacja energetyczna odbywa się kosztem zwykłych ludzi i polskich firm",negative
"W końcu mamy rząd, który realnie obniża podatki zamiast tylko o tym opowiadać",positive
"Ceny leków w aptekach są już tak wysokie, że seniorzy muszą wybierać między leczeniem a jedzeniem",negative
"Konfederacja rośnie w siłę, bo ludzie mają już dość brukselskich nakazów i zakazów",positive
"Ten cały pakiet antyinflacyjny okazał się kompletną fikcją i nie pomógł nikomu",negative
"Polska armia dostaje najnowocześniejsze czołgi i systemy obrony przeciwlotniczej na świecie",positive
"Podatki od plastikowych opakowań i torebek to kolejny absurdalny haracz na zwykłych ludzi",negative
"Wreszcie ktoś zrobił porządek z Pegasusu i inwigilacją obywateli przez służby specjalne",positive
"Cała ta koalicja rządząca to zlepek interesów, a nie prawdziwy program dla Polski",negative
"Polska gospodarka wyszła z pandemii i wojny w najlepszej kondycji w całej Unii Europejskiej",positive
"Te strefy czystego transportu to jawna dyskryminacja kierowców i mieszkańców małych miast",negative
"W końcu obniżyli ZUS dla nowych firm i młodzi ludzie chętniej zakładają własny biznes",positive
"Ceny prądu i gazu będą tej zimy tak wysokie, że wiele zakładów pracy trzeba będzie zamknąć",negative
"Hołownia i Polska 2050 to jedyna partia, która naprawdę myśli o przyszłych pokoleniach",positive
"Ten rząd nie potrafi nawet doprowadzić do normalnego dialogu z nauczycielami i lekarzami",negative
"Wreszcie mamy normalne relacje z Niemcami i nie musimy się już ich bać ani wstydzić",positive
"Ceny mieszkań w dużych miastach są już całkowicie oderwane od jakichkolwiek zarobków",negative
"Lewica jako jedyna głośno mówi o potrzebie budowy tanich mieszkań komunalnych",positive
"Cała ta władza to jedna wielka klika, która dba tylko o własne interesy i stołki",negative
"Polska armia nigdy wcześniej nie dostawała tak ogromnych środków na modernizację i uzbrojenie",positive
"Podwyżki dla budżetówki znowu są żenująco niskie i nikt ich nawet nie zauważa",negative
"W końcu ktoś naprawdę walczy z mafiami lekowymi i paliwowymi na dużą skalę",positive
"Te wszystkie podatki ekologiczne to po prostu ukryty sposób na dodatkową daninę od ludzi",negative
"Polska staje się prawdziwym technologicznym i militarnym liderem całego regionu",positive
"Znów będziemy płacić wysoką cenę za ich nieudolność i brak jakiegokolwiek planu",negative
"Tusk przywrócił Polsce szacunek w Europie i znowu jesteśmy poważnym partnerem",positive
"Ceny węgla i opału są już tak wysokie, że ludzie wracają do palenia śmieciami",negative
"Konfederacja jako jedyna broni wolności słowa i wolności gospodarczej w tym kraju",positive
"Cały ten nowy ład okazał się kompletnym niewypadem i tylko pogorszył sytuację ludzi",negative
"W końcu mamy rząd, który słucha przedsiębiorców i realnie obniża im obciążenia",positive
"Podwyżki cen energii elektrycznej zniszczą całkowicie polski przemysł ciężki",negative
"Polska 2050 ma najbardziej sensowny i zrównoważony program klimatyczny w całym Sejmie",positive
"Ten rząd kompletnie nie radzi sobie z galopującą inflacją i rosnącymi cenami",negative
"Wreszcie ktoś wprowadził prawdziwe ulgi podatkowe dla rodzin wielodzietnych",positive
"Ceny podstawowych produktów spożywczych są już nie do przyjęcia dla zwykłych rodzin",negative
"Polska armia będzie wkrótce jedną z najpotężniejszych sił w całej Europie NATO",positive
"Podatki od nadmiernych zysków banków to zwykła kradzież w świetle prawa",negative
"Hołownia pokazał, że w polityce można być normalnym i kulturalnym człowiekiem",positive
"Cała ta reforma edukacji to jeden wielki eksperyment prowadzony na żywych dzieciach",negative
"W końcu mamy rząd, który nie boi się stawiać warunków w negocjacjach z Unią Europejską",positive
"Ceny benzyny i diesla niedługo dobiją do dziesięciu złotych za litr, dzięki geniusze",negative
"Polska gospodarka przyciąga największe inwestycje mimo globalnego spowolnienia",positive
"Te wszystkie dopłaty i tarcze to tylko łatanie dziury i kupowanie głosów",negative
"Wreszcie ktoś zaczął poważnie walczyć z korupcją na najwyższych szczeblach władzy",positive
"Ceny gazu ziemnego są już tak wysokie, że wiele osób nie będzie się ogrzewać",negative
"Trzaskowski jako prezydent Warszawy udowodnił, że da się rządzić sprawnie i nowocześnie",positive
"Cały ten Green Deal to zwykłe samobójstwo gospodarcze dla całej Polski",negative
"W końcu mamy rząd, który realnie wspiera młode rodziny i politykę prorodzinną",positive
"Podatki klimatyczne i pakiet Fit for 55 to gwóźdź do trumny polskiego węgla",negative
"Ta budowa Centralnego Portu Komunikacyjnego to megalomania i topienie pieniędzy w błocie.",negative
"W końcu ktoś pomyślał o Polsce lokalnej, przywrócili nam połączenia autobusowe.",positive
"Nie mogę uwierzyć, że oni chcą wyprowadzić nas z Unii Europejskiej, to byłoby samobójstwo.",negative
"Dobrze, że rząd stawia na energetykę jądrową, węgiel nas udusi kosztami.",positive
"Znowu afera z gruntami, ręce opadają, jak oni kręcą lody na boku.",negative
"Cieszę się, że zwiększyli kwotę wolną od podatku, w portfelu zostaje parę groszy więcej.",positive
"Sądownictwo jest teraz całkowicie zależne od polityków, nie ma już sprawiedliwości.",negative
"Podoba mi się, że inwestujemy w nowoczesne technologie wojskowe, czasy są niepewne.",positive
"Ceny biletów kolejowych to jakiś żart, taniej wyjdzie samochodem.",negative
"Nareszcie zrobili porządek z tymi nielegalnymi wysypiskami śmieci.",positive
"To, jak oni szczują jednych Polaków na drugich, jest niewybaczalne.",negative
"Dzięki programowi 'Mój Prąd' panele słoneczne zwróciły mi się błyskawicznie.",positive
"Biurokracja przy zakładaniu firmy zabija wszelką przedsiębiorczość.",negative
"Super, że powstały Wojska Obrony Terytorialnej, ludzie czują się bezpieczniej.",positive
"Polityka mieszkaniowa leży, deweloperzy dyktują ceny, a rząd umywa ręce.",negative
"Widać, że nasza dyplomacja działa, prezydent USA odwiedził nas już dwa razy.",positive
"Telewizja publiczna sieje nienawiść, tego się nie da oglądać przy obiedzie.",negative
"Dobrze, że dbają o miejsca pamięci narodowej, historia jest ważna.",positive
"Składka ZUS dla przedsiębiorców to gwóźdź do trumny, zamykam działalność.",negative
"Cieszę się, że mamy niskie bezrobocie, pracodawcy w końcu szanują pracownika.",positive
"Oni kompletnie zignorowali postulaty nauczycieli, edukacja chyli się ku upadkowi.",negative
"Dofinansowanie do zakupu aut elektrycznych to krok w dobrą stronę.",positive
"Arogancja władzy przekracza wszelkie granice, traktują państwo jak folwark.",negative
"W końcu czuję, że rząd dba o interesy zwykłych ludzi, a nie korporacji.",positive
"Kolejki do lekarzy specjalistów są dłuższe niż za komuny.",negative
"Podoba mi się, że promują polską kulturę za granicą.",positive
"Inflacja to podatek dla najbiedniejszych, a rząd udaje, że to wina Putina.",negative
"Inwestycje w infrastrukturę drogową na wschodzie kraju to świetna decyzja.",positive
"Nepotyzm jest wszędzie, żona posła dostała posadę w radzie nadzorczej bez kompetencji.",negative
"Dobrze, że uszczelnili system podatkowy, nie ma przyzwolenia na oszustwa.",positive
"To prawo jest pisane na kolanie, bubel prawny goni bubel.",negative
"Jestem dumny z postawy Polaków wobec uchodźców, pokazaliśmy serce.",positive
"Rząd nie radzi sobie z transformacją energetyczną, rachunki nas zjedzą.",negative
"Fajnie, że można załatwić sprawy urzędowe przez internet, to duża wygoda.",positive
"Mieliśmy wstać z kolan, a jesteśmy skłóceni z całym światem.",negative
"Programy profilaktyczne w służbie zdrowia wreszcie zaczynają działać.",positive
"Wyprzedają majątek narodowy obcym koncernom, to zdrada stanu.",negative
"Nareszcie ktoś zadbał o godność polskich emerytów.",positive
"Brak stabilności prawa podatkowego to koszmar dla każdego księgowego.",negative
"Cieszę się, że modernizują dworce kolejowe, w końcu wygląda to nowocześnie.",positive
"To, co zrobili z Trybunałem Konstytucyjnym, to farsa.",negative
"Widać, że gospodarka jest silna, przetrwaliśmy kryzysy obronną ręką.",positive
"Zamykają małe szkoły wiejskie, dzieci muszą dojeżdżać kilkanaście kilometrów.",negative
"Dzięki funduszom sołeckim wreszcie zrobiliśmy chodnik we wsi.",positive
"Politycy opozycji tylko narzekają i nie mają żadnego planu.",negative
"Świetnie, że rząd wspiera innowacyjne polskie firmy.",positive
"Kredyt na mieszkanie jest teraz luksusem dla wybranych.",negative
"Podoba mi się, że bronią tradycyjnego modelu rodziny.",positive
"Lasy Państwowe tną na potęgę, niedługo zostaną nam same pniaki.",negative
"Jestem pod wrażeniem, jak szybko idzie budowa tunelu pod Świną.",positive
"Oni kłamią w żywe oczy, obiecują gruszki na wierzbie przed wyborami.",negative
"Dobrze, że walczą z patologią w internecie i hejtem.",positive
"Rządowe limuzyny rozbijają się po drogach, czują się bezkarni.",negative
"Dopłaty do wymiany pieców to realna walka ze smogiem, popieram.",positive
"Szkoda mi tych lekarzy rezydentów, rząd ich totalnie lekceważy.",negative
"W końcu mamy silną armię, która odstrasza potencjalnego agresora.",positive
"Władza depcze prawa mniejszości, to nie jest kraj dla wszystkich.",negative
"Cieszę się, że repolonizują banki, kapitał ma narodowość.",positive
"Kolesie z partii dostają miliony dotacji na fikcyjne fundacje.",negative
"Nareszcie znieśli te absurdalne opłaty targowe dla rolników.",positive
"Zadłużenie państwa jest ukrywane w funduszach pozabudżetowych, to kreatywna księgowość.",negative
"Podoba mi się, że prokuratura w końcu ściga przestępców w białych kołnierzykach.",positive
"Ceny najmu mieszkań w Warszawie to jakiś kosmos, rząd nic z tym nie robi.",negative
"Dzięki karcie dużej rodziny mamy zniżki na przejazdy, to pomaga.",positive
"Minister środowiska chyba nienawidzi przyrody, pozwala na rzeź zwierząt.",negative
"Widać, że Polska jest bezpiecznym krajem, nie boję się chodzić po nocy.",positive
"Afera mailowa pokazała, jak oni naprawdę rządzą państwem, totalny chaos.",negative
"Super, że inwestują w port w Gdyni, to okno na świat.",positive
"Podatek cukrowy to tylko skok na kasę, a nie dbanie o zdrowie.",negative
"Dobrze, że rząd nie zgodził się na przymusową relokację migrantów.",positive
"Zniszczyli polskie rolnictwo, zboże z Ukrainy zalało rynek.",negative
"Cieszę się, że powstały nowe żłobki, mam gdzie zostawić dziecko.",positive
"To jest rząd hipokrytów, co innego mówią w kościele, co innego robią.",negative
"Nareszcie mamy prezydenta, który dba o interesy regionu.",positive
"Wyrzucają pieniądze na propagandowe pikniki zamiast na leczenie raka.",negative
"Fajnie, że obniżyli PIT dla młodych, synowi łatwiej było wystartować.",positive
"Oni chcą kontrolować wszystko, nawet teatry i muzea.",negative
"Dzięki twardej polityce w końcu nas szanują w NATO.",positive
"Drożyzna w sklepach jest nie do wytrzymania, emerytura mi nie starcza.",negative
"Podoba mi się, że dbają o polską tożsamość i historię.",positive
"Zamykają kopalnie bez planu dla górników, to się skończy protestami.",negative
"Inwestycje w cyfryzację szkół to strzał w dziesiątkę, dzieciaki mają laptopy.",positive
"Władza walczy z kobietami zamiast im pomagać, ten wyrok to skandal.",negative
"Dobrze, że rząd wspiera koła gospodyń wiejskich, integrują wieś.",positive
"Afera z respiratorami została zamieciona pod dywan, nikt nie siedzi.",negative
"Widać rozwój na ścianie wschodniej, nowe drogi i mosty.",positive
"Politycy traktują konstytucję jak sugestię, a nie prawo.",negative
"Nareszcie emeryci są traktowani z szacunkiem, te trzynastki to duża pomoc.",positive
"Komisje śledcze to farsa, politycy są sędziami we własnej sprawie.",negative
"Cieszę się, że mamy gaz z Norwegii, jesteśmy bezpieczni energetycznie.",positive
"Rząd nie ma strategii na walkę z suszą, rolnicy są pozostawieni sami sobie.",negative
"Dzięki uldze na start łatwiej mi było otworzyć własny biznes.",positive
"To, co wyprawiają w spółkach skarbu państwa, to złodziejstwo w biały dzień.",negative
"Super, że odnowili ten zabytkowy rynek, miasto odżyło.",positive
"Policja jest brutalna wobec protestujących, to przypomina czasy ZOMO.",negative
"Podoba mi się, że rząd stawia opór biurokratom z Brukseli.",positive
"Brak węgla to wina rządu, wiedzieli o wojnie i nic nie zrobili.",negative
"W końcu pielęgniarki dostały godne podwyżki, należało im się.",positive
"Ciągłe zmiany w prawie podatkowym wykończą każdego przedsiębiorcę.",negative
"Jestem dumny, że Polska staje się liderem w regionie Trójmorza.",positive
"Oni tylko kradną i kłamią, nie mam już na kogo głosować.",negative
"Codziennie w sklepie płacę więcej za te same produkty, to już naprawdę zaczyna boleć",negative
"W końcu czuję, że w portfelu zostaje mi trochę więcej niż zwykle, super sprawa",positive
"Ceny prądu tak skoczyły, że tej zimy będziemy się grzać tylko w jednym pokoju",negative
"Od kilku miesięcy w końcu mogę odłożyć coś na koncie, dawno tego nie było",positive
"Ledwo starcza od pierwszego do pierwszego, a rachunki ciągle rosną jak szalone",negative
"Jak patrzę na wypłatę po tych zmianach podatkowych, to aż mi się uśmiech pojawia",positive
"W sklepie mięsnym ceny są już takie, że rzadziej kupujemy schabowy na obiad",negative
"Po raz pierwszy od lat stać nas na normalny wyjazd na ferie z dziećmi",positive
"Inflacja zżera wszystkie podwyżki, w praktyce zarabiam mniej niż rok temu",negative
"Coraz więcej ludzi wokół mnie mówi, że w końcu czuje się bezpieczniej finansowo",positive
"Za chleb i mleko płacę prawie dwa razy więcej niż jeszcze dwa lata temu",negative
"W tym roku pierwszy raz nie musieliśmy brać kredytu na święta, ogromna ulga",positive
"Ceny paliwa są tak wysokie, że weekendowe wypady za miasto stały się luksusem",negative
"Martwię się o rodziców emerytów, ich emerytury już prawie nic nie znaczą",negative
"Po raz pierwszy od dawna młodzi ludzie wokół mnie kupują mieszkania bez problemu",positive
"Coraz trudniej znaleźć normalną pracę, która pozwoli godnie utrzymać rodzinę",negative
"W końcu czuję, że Polska idzie w dobrym kierunku i ludziom żyje się lepiej",positive
"Rachunki za ogrzewanie są tak duże, że ludzie palą w piecu czym popadnie",negative
"Jak patrzę na statystyki bezrobocia, to naprawdę mamy się czym chwalić w Europie",positive
